date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:11	1057802/1057802	---M-Z	200	added ('OK')	text/html	etag:%22c628087d1ee261d288e225cab3f8cbe1%22	https://www.studiovanadium.com/	C:/My%20Web%20Sites/Hexagon_demo/www.studiovanadium.com/index.html	(from )
15:16:11	95/95	---M-Z	200	added ('OK')	text/plain	etag:%22d3a3980972e840dc161e9aa3b2fec55c%22	https://www.studiovanadium.com/robots.txt		(from )
15:16:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Feb%202025%2008:16:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Hexagon_demo/www.googletagmanager.com/gtm.05445.delayed	(from https://www.studiovanadium.com/)
15:16:12	428/428	---MC-	200	added ('OK')	image/png	etag:%22a98c7586e64a8382cf063e26a145a4fb%22	https://framerusercontent.com/images/LcggOxwvSnu2fFB3UqB2N45bOUI.png	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/LcggOxwvSnu2fFB3UqB2N45bOUI.png	(from https://www.studiovanadium.com/)
15:16:12	2626/2626	---MC-	200	added ('OK')	image/png	etag:%22b2d11208b133df0456e8757c08e6d051%22	https://framerusercontent.com/images/gctsSrLVNfCFJLuLzhOnjj72kOI.png	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/gctsSrLVNfCFJLuLzhOnjj72kOI.png	(from https://www.studiovanadium.com/)
15:16:12	2120305/2120305	---MC-	200	added ('OK')	image/gif	etag:%229f09c90061e6ca41262a93b7dc9375de%22	https://framerusercontent.com/images/wQiPvBP1nLzXZNWdWHcWcOaCOrU.gif	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/wQiPvBP1nLzXZNWdWHcWcOaCOrU.gif	(from https://www.studiovanadium.com/)
15:16:13	651175/651175	---MC-	200	added ('OK')	image/jpeg	etag:%22c4ec3517e77651daec1616848245be0c%22	https://framerusercontent.com/images/hTM8Ua60kel4i0FV0qnxrdZWPc.jpg	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/hTM8Ua60kel4i0FV0qnxrdZWPc.jpg	(from https://www.studiovanadium.com/)
15:16:13	451141/451141	---MC-	200	added ('OK')	image/jpeg	etag:%221cbd1f7ea6a1de36851d23a6f3673b68%22	https://framerusercontent.com/images/KVCl5aOJ6v1SGqIYUqzI0uy3xw.jpg	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/KVCl5aOJ6v1SGqIYUqzI0uy3xw.jpg	(from https://www.studiovanadium.com/)
15:16:13	8499/8499	---MC-	200	added ('OK')	image/png	etag:%22bb50dadb7c73bb4df9b74ff474cddca8%22	https://framerusercontent.com/images/TAOKTRcwojbUdmlLIESXw4qpLuw.png	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/TAOKTRcwojbUdmlLIESXw4qpLuw.png	(from https://www.studiovanadium.com/)
15:16:13	72666/72666	---MC-	200	added ('OK')	image/png	etag:%224b2843fe9c7bfe98ab37e40dfc77abcb%22	https://framerusercontent.com/images/abP4uDEcRoN0kCxMD0H7GLWs9w.png	C:/My%20Web%20Sites/Hexagon_demo/framerusercontent.com/images/abP4uDEcRoN0kCxMD0H7GLWs9w.png	(from https://www.studiovanadium.com/)
